google.com, pub-9517772455344405, DIRECT, f08c47fec0942fa0 #Adsense
google.com, pub-5227748429508049, DIRECT, f08c47fec0942fa0 #AdX
Xandr.com, 8097, DIRECT,  f5ab79cb980f11d1
Appnexus.com, 8097, DIRECT,  f5ab79cb980f11d1
pubmatic.com, 156021, DIRECT, 5d62403b186f2ace #OW
pubmatic.com, 156990, DIRECT, 5d62403b186f2ace #OB
pubmatic.com, 158318, DIRECT, 5d62403b186f2ace #PB
rubiconproject.com, 18574, DIRECT, 0bfd66d529a55807 #OB
rubiconproject.com, 16708, DIRECT, 0bfd66d529a55807 #HB
smartadserver.com, 4194-OB, RESELLER, 060d053dcf45cbf3
smartadserver.com, 4194, RESELLER, 060d053dcf45cbf3 
sharethrough.com, kH4IJsRW, RESELLER, d53b998a7bd4ecd2
pubmatic.com, 156557, RESELLER
rubiconproject.com, 18694, RESELLER, 0bfd66d529a55807
openx.com, 540274407, RESELLER, 6a698e2ec38604c6
33across.com, 0013300001kQj2HAAS, RESELLER, bbea06d9c4d2853c
smaato.com, 1100047713, RESELLER, 07bcf65f187117b4
smartadserver.com, 4342, RESELLER
smartadserver.com, 4012, RESELLER
teads.tv, 27774, DIRECT, 15a9c44f6d26cbe1
google.com, pub-9074816809942926, RESELLER, f08c47fec0942fa0 
thebeglobal.com, 21791476620, DIRECT
adtech.com, 11116, DIRECT #HB
yahoo.com, 55041, DIRECT, e1a5b5b6e3255540 #SSP
advertising.com, 28528, DIRECT, e1a5b5b6e3255540 #VSSP
advertising.com, 28343, DIRECT, e1a5b5b6e3255540 #VSSP
pubmatic.com, 156775, RESELLER, 5d62403b186f2ace #Video
pubmatic.com, 156107, RESELLER, 5d62403b186f2ace # Display
pubmatic.com, 156971, RESELLER, 5d62403b186f2ace #MApp
appnexus.com, 3292, RESELLER
lemmatechnologies.com, 465, RESELLER, 7829010c5bebd1fb #LEMMA
triplelift.com, 13148, RESELLER, 6c33edb13117fd86
triplelift.com, 12396, RESELLER, 6c33edb13117fd86
indexexchange.com, 191412, DIRECT #OB
sovrn.com, 242968, DIRECT, fafdf38b16bf6b2b
lijit.com, 242968, RESELLER, fafdf38b16bf6b2b
appnexus.com, 1360, RESELLER, f5ab79cb980f11d1
gumgum.com, 11645, RESELLER, ffdef49475d318a9
openx.com, 538959099, RESELLER, 6a698e2ec38604c6
openx.com, 539924617, RESELLER, 6a698e2ec38604c6
pubmatic.com, 137711, RESELLER, 5d62403b186f2ace
pubmatic.com, 156212, RESELLER, 5d62403b186f2ace
pubmatic.com, 156700, RESELLER, 5d62403b186f2ace
rubiconproject.com, 17960, RESELLER, 0bfd66d529a55807
facebook.com, 520853644968554, RESELLER, c3e20eee3f780d68
facebook.com, 1857280771230619, RESELLER, c3e20eee3f780d68
facebook.com, 179214325528867, RESELLER, c3e20eee3f780d68
facebook.com, 307490212940657, RESELLER, c3e20eee3f780d68
facebook.com, 417936778399949, RESELLER, c3e20eee3f780d68
facebook.com, 10153615946638826, RESELLER, c3e20eee3f780d68
Media.net, 8CUSRESBH, DIRECT
adingo.jp, 30867, RESELLER
google.com, pub-7439041255533808, RESELLER
openx.com, 537100188, RESELLER, 6a698e2ec38604c6
Media.net, 8CU8U785V, DIRECT
exponential.com, 163550, DIRECT, afac06385c445926
tribalfusion.com, 163550, DIRECT, afac06385c445926
exponential.com, 174210, DIRECT, afac06385c445926
tribalfusion.com, 174210, DIRECT, afac06385c445926
indexexchange.com, 176280, RESELLER, 50b1c356f2c5c8fc
google.com, pub-2051007210431666, RESELLER, f08c47fec0942fa0
appnexus.com, 983, RESELLER, f5ab79cb980f11d1
taboola.com,1164949,DIRECT,c228e6794e811952
spotx.tv,71451,RESELLER,7842df1d2fe2db34
spotxchange.com, 71451, RESELLER, 7842df1d2fe2db34
advertising.com, 8603, RESELLER
pubmatic.com, 156307, RESELLER, 5d62403b186f2ace
appnexus.com, 3364, RESELLER, f5ab79cb980f11d1
indexexchange.com, 183756, RESELLER, 50b1c356f2c5c8fc
contextweb.com, 560382, RESELLER, 89ff185a4c4e857c
openx.com, 539154393, RESELLER, 6a698e2ec38604c6
tremorhub.com, z87wm, RESELLER, 1a4e959a1b50034a
rubiconproject.com, 16698, RESELLER, 0bfd66d529a55807
freewheel.tv, 799841, RESELLER
freewheel.tv, 799921, RESELLER
aol.com, 53392, RESELLER
rhythmone.com, 1166984029, RESELLER, a670c89d4a324e47
